7zip 25.01-1
libxpresent 1.0.2-1
libxrandr 1.5.4-1
libxrender 0.9.12-1
libxshmfence 1.3.3-1
libxslt 1.1.43-2
libxss 1.2.5-1
libxt 1.3.1-1
libxtst 1.2.5-1
libxv 1.0.13-1
libxxf86vm 1.1.6-1
libyaml 0.2.5-3
libyuv r2426+464c51a03-1
libzmf 0.0.2-18
licenses 20240728-1
lilv 0.24.26-1
linux 6.16.5.arch1-1
linux-api-headers 6.16-2
linux-firmware 20250808-1
linux-firmware-amdgpu 20250808-1
linux-firmware-atheros 20250808-1
linux-firmware-broadcom 20250808-1
linux-firmware-cirrus 20250808-1
linux-firmware-intel 20250808-1
linux-firmware-mediatek 20250808-1
linux-firmware-nvidia 20250808-1
linux-firmware-other 20250808-1
linux-firmware-radeon 20250808-1
linux-firmware-realtek 20250808-1
linux-firmware-whence 20250808-1
llvm 20.1.8-1
llvm-libs 20.1.8-1
lm_sensors 1:3.6.2-1
lmdb 0.9.33-1
lpsolve 5.5.2.11-3
lsof 4.99.5-2
lua 5.4.8-2
lua51-lpeg 1.1.0-4
luajit 2.1.1753364724-1
lv2 1.18.10-1
lxappearance 0.6.4-1
lxmenu-data 0.1.6-1
lz4 1:1.10.0-2
lzo 2.10-5
m4 1.4.20-1
mailcap 2.1.54-2
make 4.4.1-2
man-pages 6.15-1
mandoc 1.14.6-5
mate-desktop 1.28.2-2
mathjax2 2.7.9-2
md4c 0.5.2-1
mdadm 4.4-1
menu-cache 1.1.1-1
mesa 1:25.2.2-2
meson 1.9.0-1
minizip 1:1.3.1-2
mkinitcpio 39.2-3
mkinitcpio-busybox 1.36.1-1
mpdecimal 4.0.1-1
mpfr 4.2.2-1
mpg123 1.33.1-1
mpv 1:0.40.0-5
msgpack-c 6.1.0-2
mtdev 1.1.7-1
mujs 1.3.7-1
mypaint-brushes1 1.3.1-2
namcap 3.6.0-1
ncdu 2.8.2-3
ncurses 6.5-4
neofetch 7.1.0-2
neon 0.35.0-1
neovim 0.11.4-1
net-snmp 5.9.4-7
netpbm 10.86.47-1
nettle 3.10.2-1
newsraft-git 0.22.13b98fb5e7-1
ninja 1.12.1-2
node-gyp 11.4.2-1
nodejs 24.7.0-1
nodejs-nopt 7.2.1-1
npm 11.6.0-1
npth 1.8-1
nspr 4.37-1
nss 3.115.1-1
obsidian 1.9.12-1
ocl-icd 2.3.3-1
onetbb 2022.2.0-1
oniguruma 6.9.10-1
openal 1.24.3-1
opencore-amr 0.1.6-2
opencv 4.12.0-4
opendoas 6.8.2-3
openexr 3.3.5-2
openh264 2.6.0-1
openjpeg2 2.5.3-1
openprinting-ppds-postscript-ricoh 20161206-1
openprinting-ppds-pxlmono-ricoh 20161206-2
openssh 10.0p1-4
openssl 3.5.2-1
opus 1.5.2-1
opusfile 0.12-4
orc 0.4.41-1
ouch 0.6.1-1
p11-kit 0.25.5-1
pacman 7.0.0.r6.gc685ae6-6
pacman-contrib 1.13.0-1
pacman-mirrorlist 20250702-2
pam 1.7.1-1
pambase 20250719-1
pango 1:1.56.4-2
pantum-driver 1.1.123-1
papirus-folders 1.14.0-1
papirus-icon-theme 20250501-1
parted 3.6-2
paru 2.1.0-1
paru-debug 2.0.4-1
patch 2.8-1
pciutils 3.14.0-1
pcmanfm 1.4.0-1
pcre 8.45-4
pcre2 10.46-1
pdfarranger 1.12.1-1
perl 5.42.0-1
perl-alien-build 2.84-3
perl-alien-libxml2 0.20-3
perl-capture-tiny 0.50-3
perl-clone 0.47-2
perl-dbi 1.647-2
perl-error 0.17030-2
perl-ffi-checklib 0.31-7
perl-file-chdir 0.1011-6
perl-file-which 1.27-7
perl-locale-gettext 1.07-16
perl-mailtools 2.22-2
perl-path-tiny 0.150-1
perl-timedate 2.33-8
perl-xml-libxml 2.0210-4
perl-xml-namespacesupport 1.12-6
perl-xml-sax 1.02-2
perl-xml-sax-base 1.09-6
pgcli 4.3.0-1
pinentry 1.3.2-1
pipewire 1:1.4.7-1
pipewire-audio 1:1.4.7-1
pipewire-jack 1:1.4.7-1
pipewire-session-manager 1:1.4.7-1
pixman-git 0.46.4.r4.g2906799-1
pkgconf 2.5.1-1
pkgfile 24-1
playerctl 2.4.1-4
pnpm 10.15.1-1
polkit 126-2
poppler 25.09.1-1
poppler-data 0.4.12-2
poppler-glib 25.09.1-1
popt 1.19-2
portaudio 1:19.7.0-3
postgresql 17.5-5
postgresql-libs 17.5-5
prettier 3.6.2-2
procps-ng 4.0.5-3
protobuf 32.0-1
psmisc 23.7-1
pyalpm 0.10.12-1
pyright 1.1.404-1
python 3.13.7-1
python-black 25.1.0-1
python-boolean.py 5.0-1
python-cairo 1.28.0-1
python-cli_helpers 2.7.0-1
python-click 8.2.1-1
python-configobj 5.0.9-5
python-dateutil 2.9.0-6
python-dbus 1.4.0-1
python-deprecated 1.2.18-1
python-distro 1.9.0-3
python-gobject 3.52.3-3
python-i3ipc 2.2.1-8
python-license-expression 30.4.4-1
python-lxml 6.0.1-1
python-mypy_extensions 1.1.0-1
python-packaging 25.0-1
python-pathspec 0.12.1-3
python-pgspecial 2.2.1-1
python-pikepdf 9.10.2-1
python-pillow 11.3.0-3
python-platformdirs 4.4.0-1
python-prompt_toolkit 3.0.52-1
python-psycopg 3.2.10-1
python-pycups 2.0.4-3
python-pyelftools 0.32-1
python-pygments 2.19.2-1
python-ruff 0.12.12-1
python-setproctitle 1.3.6-1
python-six 1.17.0-1
python-sqlparse 0.5.3-1
python-tabulate 0.9.0-5
python-tqdm 4.67.1-2
python-tzlocal 1:5.3.1-1
python-wcwidth 0.2.13-3
python-wrapt 1.17.3-1
python-xlib 0.33-4
qimgv 1.0.3+alpha+94+ge2675f13-1
qpdf 12.2.0-1
qrencode 4.1.1-4
qt5-base 5.15.17+kde+r123-2
qt5-imageformats 5.15.17+kde+r2-1
qt5-svg 5.15.17+kde+r5-1
qt5-tools 5.15.17+kde+r3-2
qt5-translations 5.15.17-1
qt6-5compat 6.9.2-1
qt6-base 6.9.2-1
qt6-declarative 6.9.2-1
qt6-imageformats 6.9.2-1
qt6-shadertools 6.9.2-1
qt6-svg 6.9.2-1
qt6-tools 6.9.2-1
qt6-translations 6.9.2-1
qt6-wayland 6.9.2-1
raptor 2.0.16-8
rasqal 1:0.9.33-7
rav1e 0.7.1-1
readline 8.3.001-1
recode 3.7.15-1
redland 1:1.0.17-9
refind 0.14.2-1
refind-theme-darkmini-git r30.8ad13bd-1
rhash 1.4.4-1
ricoh-sp150-ppd v1.0.22-1
ricoh-sp210-211-ppd 0.1-1
rnnoise 1:0.2-1
rtkit 0.13-3
rubberband 4.0.0-1
ruff 0.12.12-1
rustup 1.28.2-3
sane 1.4.0-1
sassc 3.6.2-5
sbc 2.1-1
sdl2-compat 2.32.56-2
sdl3 3.2.22-1
seatd 0.9.1-1
sed 4.9-3
semver 7.7.2-1
sequoia-sqv 1.3.0-1
serd 0.32.4-1
serf 1.3.10-2
